id,name,date_of_birth,nationality
9446,Steve Swink,1938-06-15,Chinese
9447,Jessica Beaton,1948-05-30,British
9448,Dan Louche,1944-09-10,Kenyan
9449,Trine Hahnemann,1920-12-31,French
9450,Anneli Haake,1953-03-31,British
9451,James Redfield,1944-09-10,Polish
9452,Lawrence A. Machi,1971-11-25,American
9453,Bill Palmer,1935-01-03,Peruvian
9454,Steve Rendle,1943-12-25,Saudi Arabian
9455,James Victore,1951-05-04,Portuguese
9456,Kanata Konami,1946-07-05,Israeli
9457,E. Lockhart,1970-12-20,Portuguese
9458,Candace Crockett,1983-07-17,American
9459,Gay Hendricks,1972-11-01,Brazilian
9460,Rita Weiss,1921-08-28,British
9461,Mark Ryan,1930-08-07,Indian
9462,Jim Al-Khalili,1920-10-30,Australian
9463,Shirley Jackson,1936-05-26,Swedish
9464,Hannah Hurnard,1928-12-01,Jamaican
9465,Sue Jenkyn Jones,1957-07-08,German
9466,Duncan Levy,1950-02-11,Kenyan
9467,Ina Caro,1942-07-19,French
9468,Dan Lyons,1952-01-03,Irish
9469,John McGuinness,1939-11-14,Portuguese
9470,Simon Leach,1922-09-30,British
9471,Leslie Wainger,1946-07-12,Mexican
9472,Mugumogu,1938-03-02,Nigerian
9473,Mark Webber,1985-02-25,American
9474,Taylor R Marshall,1981-01-01,British
9475,Ordnance Survey,1920-04-17,Egyptian
9476,Sarah Simblet,1955-05-29,French
9477,Victoria Magrath,1970-08-05,Thai
9478,Greg Stones,1958-06-15,Saudi Arabian
9479,Martin Meredith,1968-07-18,Jamaican
9480,Mark Taylor,1944-12-03,Israeli
9481,Russ Unger,1959-07-03,Irish
9482,Katharine Graham,1920-09-07,Australian
9483,Joel Shaul,1950-09-15,American
9484,Tsung-hsien Lee,1941-01-19,Mexican
9485,Henry Stedman,1925-12-17,Indian
9486,Colin Shindler,1952-08-19,Malaysian
9487,Arno Ilgner,1920-09-07,Chinese
9488,Susan Herbert,1983-06-30,Brazilian
9489,Tsh Oxenreider,1984-04-09,Australian
9490,Dover Publications,1955-08-15,Chinese
9491,Toby Ballentine,1928-03-31,Thai
9492,Melissa Joulwan,1947-01-10,Peruvian
9493,Peggy Dean,1923-05-13,Greek
9494,Colette Baron-Reid,1940-05-01,Polish
9495,Bradley Quinn,1937-12-23,Thai
9496,David H. DeVorkin,1965-07-29,Indian
9497,Charles L. Whitfield,1966-02-02,Russian
9498,Gwen Cooper,1942-05-28,Canadian
9499,Judith Bell,1989-04-24,Egyptian
9500,Lucy Montgomery,1984-11-21,Australian
9501,Peter Sagan,1949-09-10,Italian
9502,Judy H. Hall,1935-01-26,Saudi Arabian
9503,Paola Nanni-Tate,1923-12-10,Israeli
9504,Keiichi Arawi,1923-05-20,Indian
9505,Mark C. Layton,1969-12-20,Kenyan
9506,Gabriele Amorth,1990-10-30,Italian
9507,Edna Mae Burnam,1941-01-16,Portuguese
9508,Rob Gilbert,1923-08-14,Polish
9509,Jan Berry,1942-06-12,Chinese
9510,Michael Matthews,1926-04-21,Korean
9511,Adrienne N Hew Cn,1962-08-11,Canadian
9512,Victoria Boutenko,1930-04-19,Polish
9513,Ronald McRae,1937-02-22,Thai
9514,Martin Wallace,1967-10-22,French
9515,Douglas Murray,1974-07-18,Indian
9516,Natasha Anastasia Tarpley,1970-10-21,Jamaican
9517,Harold Kushner,1942-05-27,Jamaican
9518,Alice Starmore,1975-09-13,French
9519,Jason Selk,1952-03-27,Australian
9520,Albert Camus,1958-02-24,Thai
9521,David E. Garland,1960-08-04,Italian
9522,Simon Blackburn,1989-12-13,Indian
9523,Nicola Morgan,1962-08-06,Korean
9524,Norman Matloff,1987-03-21,Italian
9525,Nadia Wheatley,1955-02-01,Saudi Arabian
9526,Manul Laphroaig,1924-01-16,Korean
9527,Francisco J. Migoya,1934-03-18,Jamaican
9528,Allie Esiri,1990-04-18,Swedish
9529,Scott Stossel,1980-09-04,Swedish
9530,John T. Cacioppo,1935-08-29,Nigerian
9531,Joel Sartore,1945-10-15,Thai
9532,Jaime Jackson,1948-04-30,Polish
9533,Nick Vandome,1972-05-17,Korean
9534,Giuseppe Santamaria,1943-06-28,Thai
9535,Maria Trolle,1988-11-08,Egyptian
9536,Alana Scott,1932-07-01,Irish
9537,Rainbow Rowell,1945-10-24,Nigerian
9538,Philip Larkin,1924-08-21,British
9539,Marshall B. Rosenberg,1937-04-08,Malaysian
9540,Becky Albertalli,1936-08-21,Thai
9541,Caroline Zoob,1933-05-27,Italian
9542,Joseph Cremona,1956-03-13,Irish
9543,David Airey,1945-11-27,Indian
9544,Coleman Barks,1951-07-28,Israeli
9545,Judy Craft,1935-10-23,Nigerian
9546,Karen Barad,1922-05-02,Mexican
9547,Roger Hargreaves,1961-08-01,Japanese
9548,Ovid,1971-02-22,Greek
9549,Ramit Sethi,1954-05-05,Greek
9550,W Timothy Gallwey,1942-05-17,American
9551,Penelope Leach,1981-08-19,Indian
9552,Jasmine Hemsley,1939-10-28,Greek
9553,Peter H. Reynolds,1957-04-06,Swedish
9554,Hayward Cirker,1921-12-26,Italian
9555,Richard Hammond,1985-10-05,Kenyan
9556,Sanjay Patel,1987-04-18,Swedish
9557,John Seely,1956-09-02,French
9558,Alice Feeney,1929-07-12,Korean
9559,Unknown,1953-02-03,Peruvian
9560,James C. Humes,1949-05-22,Swedish
9561,Harriet Lerner,1982-06-04,Thai
9562,Ann Blockley,1935-11-07,German
9563,Frank Cottrell Boyce,1957-11-02,Australian
9564,Kristin Baird Rattini,1979-06-28,Indian
9565,Michael Bierut,1946-11-18,Japanese
9566,Adam Grant,1983-04-13,German
9567,Rob Collie,1986-11-15,Thai
9568,John Parker,1971-11-21,Greek
9569,Steve Smith,1979-04-11,Egyptian
9570,Clive Staples Lewis,1945-05-20,Korean
9571,Sarah Silverman,1930-02-28,Spanish
9572,Doris Garimara Pilkington,1938-05-03,Russian
9573,Walid Shoebat,1927-10-28,Australian
9574,Chloe Coscarelli,1956-02-02,Kenyan
9575,Dan Saffer,1982-08-09,Egyptian
9576,Milton Friedman,1936-09-27,Japanese
9577,Donald M. Epstein,1954-04-13,Indian
9578,H. James Wilson,1955-07-16,Saudi Arabian
9579,Benjamin Hoff,1965-11-17,Polish
9580,Matthew B. Miles,1990-02-09,Egyptian
9581,David Gibson,1969-06-12,Turkish
9582,James Kalbach,1931-01-02,Thai
9583,brendan Kane,1963-11-21,Turkish
9584,Jessica Palmer,1922-11-25,Polish
9585,Aditya Y. Bhargava,1989-06-14,Saudi Arabian
9586,Reuel Golden,1921-08-30,Nigerian
9587,Claire Waring,1974-05-26,Saudi Arabian
9588,Sean McManus,1938-11-17,British
9589,Kate Atherley,1961-02-02,Italian
9590,Tom Sherrington,1938-05-18,Turkish
9591,Francisca Castro,1975-07-16,Peruvian
9592,Bryan Peterson,1950-02-02,Nigerian
9593,Nicole Fenton,1943-03-14,German
9594,Peter Phillips,1935-05-09,Malaysian
9595,Stanislaw Lem,1961-08-16,Turkish
9596,Grisha Stewart,1926-04-07,Chinese
9597,Terence McKenna,1931-02-05,American
9598,Tim F. Flannery,1929-07-16,German
9599,Angel Flores,1935-02-02,American
9600,Liz Bankes,1968-08-14,Mexican
9601,Jonathan Law,1934-11-15,Kenyan
9602,Collins UK,1985-12-01,Kenyan
9603,Dr Seuss,1980-12-11,Swedish
9604,Nigel Owens,1945-12-14,Israeli
9605,Rachel Sussman,1948-04-14,Chinese
9606,Margret Rey,1965-03-06,Polish
9607,Susan Scott,1987-03-08,Thai
9608,Andrea Pinnington,1947-05-05,American
9609,Eric Berne,1961-03-23,Chinese
9610,Gerald Klickstein,1966-06-22,Spanish
9611,Meredith Gaston,1954-10-05,Russian
9612,Deborah Manley,1970-07-16,Nigerian
9613,Arnold Ehret,1963-08-04,Saudi Arabian
9614,Kevin Wilson,1979-03-16,Swedish
9615,Lisa Eldridge,1975-01-29,Greek
9616,Clare Hunter,1968-05-05,Mexican
9617,Egmont Publishing UK,1989-05-24,Italian
9618,Steve Solomon,1970-02-20,Thai
9619,Tim Kreider,1985-01-13,Irish
9620,Willard F. Harley,1960-07-21,Australian
9621,Helen Castor,1956-01-25,Chinese
9622,Lise Bourbeau,1925-07-07,Korean
9623,Peter Stimpson,1935-07-25,Swedish
9624,Michael T. Murray,1931-02-18,Korean
9625,Ragnar Jonasson,1971-05-13,Canadian
9626,Raymond Feist,1926-02-02,Peruvian
9627,Lee Nemmers,1956-03-01,Malaysian
9628,Arnold Leitner,1922-01-03,German
9629,Amy Morin,1955-10-18,Russian
9630,Eliane Whitehouse,1961-09-16,French
9631,Lois Martin,1981-09-01,Polish
9632,Rhett McLaughlin,1972-05-14,Mexican
9633,Massimo Pigliucci,1957-06-07,Mexican
9634,Sue Townsend,1961-01-12,Chinese
9635,Mat Buckland,1938-02-16,Malaysian
9636,Rose Ellen Dix,1941-03-08,Japanese
9637,Shalane Flanagan,1958-03-13,Italian
9638,Jillian Madison,1972-10-01,Korean
9639,Raynor Winn,1990-05-03,British
9640,Lauren Alderfer,1987-02-01,British
9641,Pamela Keogh,1936-01-11,Malaysian
9642,Ted Gioia,1951-01-29,Malaysian
9643,Paul Davies,1976-01-23,Irish
9644,Harriet Beinfield,1929-12-10,Spanish
9645,Peter W. Singer,1931-02-04,Malaysian
9646,Laura Marsh,1928-12-22,British
9647,Jon Halliday,1928-04-29,Thai
9648,Doug Moench,1951-06-08,Portuguese
9649,Oliver Jeffers,1957-04-01,British
9650,Andy Weir,1957-11-08,Nigerian
9651,Keith Lovegrove,1967-04-07,Japanese
9652,Christopher Cunningham,1937-03-11,Canadian
9653,Jon Woodcock,1985-07-10,Australian
9654,F. a. Hayek,1944-05-22,Israeli
9655,Christina Tosi,1936-10-03,Brazilian
9656,Robert K. Yin,1927-07-26,Nigerian
9657,Delores Custer,1941-03-13,Israeli
9658,Michael Barton,1948-04-28,Turkish
9659,BILL HILTON,1935-09-25,Israeli
9660,Chris Haddon,1981-11-20,Jamaican
9661,Abby Larson,1941-05-21,Russian
9662,Justin Timberlake,1963-07-07,Chinese
9663,Rt Hon Michael Portillo,1942-07-13,Brazilian
9664,Daniel Mendelsohn,1959-07-28,Mexican
9665,Beverly Derewianka,1937-04-09,American
9666,Eddie Hart,1969-09-15,Australian
9667,Charly Wegelius,1938-03-26,Japanese
9668,Joel Salatin,1925-02-13,British
9669,Angela Steidele,1938-07-03,Jamaican
9670,Fred Benenson,1982-01-30,American
9671,H. Norman Wright,1984-04-27,British
9672,Editors,1983-12-22,Israeli
9673,Eva Gutowski,1976-03-08,Korean
9674,Shaun Usher,1985-03-22,German
9675,Mark Logue,1949-06-18,Irish
9676,Gail Loane,1945-09-23,Swedish
9677,Mitchel Resnick,1939-01-01,Irish
9678,Barbara Carrellas,1987-11-02,Polish
9679,John Julius Norwich,1924-04-09,Polish
9680,Robin Knox-Johnston,1961-10-17,Russian
9681,Valerie McKeehan,1940-04-20,Egyptian
9682,St. John of the Cross,1939-01-17,Nigerian
9683,Gene Zion,1930-10-10,Irish
9684,Harvey S. Whistler,1976-10-07,Saudi Arabian
9685,Elizabeth G. Hainstock,1946-08-06,Korean
9686,Emily Giffin,1981-07-22,Egyptian
9687,Frank Camorra,1968-04-17,Peruvian
9688,Ellyn Satter,1980-06-04,Korean
9689,Leil Lowndes,1963-02-17,Saudi Arabian
9690,Belinda Norton,1977-10-04,Russian
9691,Jera Brandvig,1974-12-05,Thai
9692,Keith Pledger,1967-10-08,French
9693,David Pagano,1966-03-24,Thai
9694,SHELLEY RHODES,1936-12-19,Italian
9695,Robert DenBleyker,1944-08-12,Peruvian
9696,Sebastiao Salgado,1959-10-12,Indian
9697,Brian O'Doherty,1964-03-31,Greek
9698,Steve Nison,1987-04-18,Kenyan
9699,Dave Ingham,1939-10-25,Peruvian
9700,Jeff Hiatt,1969-08-30,Italian
9701,Jake Vanderplas,1976-10-20,Thai
9702,Wilder Poetry,1946-06-02,Canadian
9703,Anh Do,1970-04-21,Irish
9704,Anne Buscha,1957-07-22,Indian
9705,Paul Dempsey,1959-09-07,Spanish
9706,Philip G. Zimbardo,1953-12-02,German
9707,Natalie Avella,1920-10-27,Italian
9708,Rachelle Charman,1943-06-29,Italian
9709,Cyril M. Harris,1926-11-30,Kenyan
9710,John Wickersham,1956-03-28,Polish
9711,Dave Kuehls,1952-12-30,French
9712,Sara Donati,1925-06-10,Turkish
9713,Joudie Kalla,1956-12-08,German
9714,Keith Tanner,1984-02-06,British
9715,Dorothy Saul-Pooley,1960-12-14,Polish
9716,Ian Doescher,1942-08-20,Turkish
9717,The RZA,1987-12-05,American
9718,Armando Iannucci,1940-01-15,Polish
9719,G. K. Chesterton,1940-12-06,Japanese
9720,K. Y. Robinson,1972-11-22,Spanish
9721,Tony T. Kern,1947-01-19,Indian
9722,Bob Dylan,1966-03-09,Egyptian
9723,Daniel Coyle,1989-11-03,Nigerian
9724,Storm Dunlop,1981-01-04,Kenyan
9725,Tony Kushner,1943-08-25,Thai
9726,Robert Henri,1982-07-24,Nigerian
9727,Jeff Walker,1959-10-14,Malaysian
9728,Brendon Burchard,1960-02-06,Japanese
9729,Huston Smith,1971-11-15,American
9730,Stephen M. Johnson,1990-11-11,Polish
9731,A S a Harrison,1928-08-20,Australian
9732,Whitman,1976-08-22,Malaysian
9733,Chris Anley,1974-01-02,Polish
9734,Adharanand Finn,1974-03-29,French
9735,Nancy McWilliams,1990-08-06,British
9736,Pixiwoo Limited,1928-07-14,Brazilian
9737,Anna Llenas,1966-09-18,Italian
9738,Antulio J. Echevarria,1963-12-19,Peruvian
9739,Dale Black,1983-10-24,American
9740,V. Anton Spraul,1983-07-12,Polish
9741,Tom Bryant,1962-09-28,Peruvian
9742,Richard Siken,1986-12-21,British
9743,Anand Giridharadas,1959-10-04,Polish
9744,Don Steinberg,1948-09-12,Portuguese
9745,Paul Bangay,1985-10-07,Swedish
9746,Christina Brown,1937-06-21,Greek
9747,Ben Shapiro,1929-10-12,Korean
9748,Gerhard Koop,1971-11-04,Israeli
9749,Eva Fitzwater,1988-05-19,Portuguese
9750,Richard Gordon,1934-08-18,Peruvian
9751,Itamar Srulovich,1967-07-23,Canadian
9752,Harold Abelson,1942-02-05,Swedish
9753,Vic Brotherson,1976-05-29,Malaysian
9754,Sarah Bakewell,1960-08-08,Indian
9755,Carla Sonheim,1969-06-17,Greek
9756,Sally Fallon Morell,1959-10-15,Italian
9757,Rachel Carson,1955-12-03,Jamaican
9758,Eddie Huang,1939-10-03,French
9759,Toni Sepeda,1935-06-14,Kenyan
9760,Dmitry Glukhovsky,1961-04-10,Japanese
9761,Teri Crews,1975-11-10,Mexican
9762,John Ayto,1938-07-22,Russian
9763,Jeff Jewitt,1954-11-14,Korean
9764,Clay Shirky,1979-06-28,Brazilian
9765,Lao Tze,1922-06-15,Malaysian
9766,Livia Cetti,1990-02-12,German
9767,Jean Draper,1933-03-28,Spanish
9768,World Health Organization(WHO),1976-04-28,Portuguese
9769,Jessica Easto,1944-07-28,British
9770,Graham Robb,1951-11-16,Brazilian
9771,Michael Pilhofer,1936-06-12,Canadian
9772,Karen Pryor,1954-01-28,Canadian
9773,Matthew Hranek,1962-08-09,Polish
9774,Colleen Hoover,1920-05-01,Indian
9775,Martin L. Kutscher,1959-09-01,Polish
9776,Christopher G. Fairburn,1966-05-22,French
9777,Jim Bond,1960-04-22,Japanese
9778,Cheri J. Meiners,1989-01-09,Japanese
9779,Carlos Reyes,1920-06-16,Peruvian
9780,Peter Hince,1928-11-19,Jamaican
9781,Bruce Dang,1967-12-21,Thai
9782,Simon Stålenhag,1969-07-09,Spanish
9783,Linda Clements,1932-07-03,Polish
9784,Shane Claiborne,1990-06-08,Brazilian
9785,Lizzy Lansberry,1964-12-02,Korean
9786,Cooknation,1980-03-19,Saudi Arabian
9787,Tubal Cain,1954-07-09,Irish
9788,Kathy L. Kain,1948-07-18,Irish
9789,Sara Maitland,1938-03-14,German
9790,Lacy Mucklow,1936-12-10,French
9791,Instaread Summaries,1947-04-29,Italian
9792,John Rousmaniere,1952-01-17,Swedish
9793,Andy Dailey,1978-05-06,Polish
9794,Helen Brown,1921-06-09,Thai
9795,Lee Archer,1959-07-19,Indian
9796,Sara Gottfried,1960-05-25,American
9797,Ashlee Vance,1981-04-05,Indian
9798,Kyle Newman,1948-08-06,Peruvian
9799,Chang,1928-09-06,Thai
9800,Patricia A. Resick,1980-11-28,Israeli
9801,Sherrilyn Kenyon,1981-06-08,Jamaican
9802,Anna Fienberg,1963-06-29,Brazilian
9803,Elizabeth Healey,1941-01-23,Greek
9804,Genevieve Helsby,1969-06-12,Peruvian
9805,Jane McLelland,1927-05-23,Swedish
9806,David Perkins,1924-10-20,French
9807,Professor Scott D Sampson,1965-12-11,Egyptian
9808,Heather Barrie,1973-10-25,Spanish
9809,Baltasar Gracián Y Morales,1971-10-28,Brazilian
9810,Aviva Romm,1966-05-07,Spanish
9811,Hermann Kinder,1953-04-18,Canadian
9812,Steve Coll,1927-03-05,Chinese
9813,Sheryl Sandberg,1942-11-20,Egyptian
9814,Guy Adams,1932-04-27,Saudi Arabian
9815,Gareth James,1983-10-02,Russian
9816,James Ellroy,1961-11-22,Irish
9817,Ralph D. Sawyer,1981-10-08,Nigerian
9818,Amigurumipatterns.net,1922-07-16,Kenyan
9819,William Langewiesche,1970-10-02,Malaysian
9820,Gary Vaynerchuk,1933-06-05,Swedish
9821,Eleanor Estes,1965-02-18,British
9822,Jo Brand,1927-06-17,Jamaican
9823,Berlitz Publishing Company,1939-01-28,British
9824,Parker J. Palmer,1979-11-25,Irish
9825,Dr Pierre Dukan,1921-04-13,Canadian
9826,George Gamow,1920-04-30,Chinese
9827,Tom DeMarco,1965-10-27,German
9828,Luke Jennings,1953-05-14,Thai
9829,Jürgen Osterhammel,1949-12-18,Indian
9830,Brent Weeks,1987-06-19,Japanese
9831,The Sidemen,1929-01-01,Kenyan
9832,Bruce Fife,1980-10-31,German
9833,Stephen Calt,1979-05-16,Chinese
9834,Lawrence Booth,1929-06-23,British
9835,Signe Bergstrom,1937-01-03,Chinese
9836,Rahul Jandial,1967-11-08,Irish
9837,Don Tapscott,1929-07-15,Greek
9838,Tetsuko Kuroyanagi,1974-07-09,Korean
9839,Caroline Paul,1963-10-28,Portuguese
9840,Lonely Planet,1949-05-31,Mexican
9841,Virgilio Borobio,1981-06-13,Malaysian
9842,Lynn Araujo,1963-05-09,Peruvian
9843,Dana Gioia,1952-12-06,Polish
9844,Nirmala Nataraj,1958-10-02,Korean
9845,Giles Andreae,1977-05-06,Indian
9846,Tim Ingold,1968-08-22,Nigerian
9847,Lynda Maynard,1931-05-27,Thai
9848,Victor Papanek,1926-10-11,Nigerian
9849,Marina Keegan,1981-09-16,Israeli
9850,Charles Henderson,1950-09-01,Indian
9851,Thomas J Elpel,1935-07-26,Greek
9852,Aidan Comerford,1947-02-04,Turkish
9853,Megamunden,1941-04-18,Spanish
9854,Tim Krabbe,1957-06-23,Turkish
9855,Colin Lewis,1933-06-17,Swedish
9856,Joseph DiNardo,1931-07-11,Nigerian
9857,Pam Wedgwood,1925-10-08,Canadian
9858,Alberto Villoldo,1953-02-12,Kenyan
9859,Simone Biles,1955-02-18,German
9860,Carlo Rovelli,1983-01-10,Italian
9861,Edwin M. Dyer,1944-07-01,Greek
9862,Shinobu Ohtaka,1938-06-17,Korean
9863,Jack Hawley,1951-05-18,Portuguese
9864,Jackson Mackenzie,1982-07-01,Egyptian
9865,Professor Rigas Doganis,1955-05-12,Korean
9866,Saifedean Ammous,1983-07-08,American
9867,Kim Stanley Robinson,1943-12-25,Malaysian
9868,Alli Koch,1954-02-10,Brazilian
9869,Chris McDonnell,1967-11-13,Thai
9870,Michel Montaigne,1966-02-18,Peruvian
9871,Julie Markes,1953-06-02,Jamaican
9872,James Hayton,1962-01-19,Irish
9873,Allan Wright,1989-05-25,Saudi Arabian
9874,James Lovell,1976-09-23,Greek
9875,Peter Benson,1970-01-06,Russian
9876,Bob de Groot,1973-06-07,Russian
9877,F. Knapp,1989-12-07,Australian
9878,Harlan Ellison,1920-04-01,Kenyan
9879,Peter Watts,1920-09-02,Turkish
9880,Steve Wozniak,1921-01-29,Swedish
9881,Pattie Boyd,1940-12-17,Mexican
9882,Christopher Ash,1964-05-15,Jamaican
9883,Paul Ginnis,1973-01-19,Israeli
9884,Tucker Carlson,1945-02-13,Greek
9885,Edward W. Said,1962-07-02,American
9886,Christine Feehan,1966-10-26,Nigerian
9887,Kari Chapin,1936-04-18,Turkish
9888,Abbie Bernstein,1931-12-09,American
9889,Diana Henry,1924-11-22,Indian
9890,Alice Finch,1970-11-24,Greek
9891,Clotilde Dusoulier,1950-04-20,Greek
9892,Bescherelle,1978-06-23,Irish
9893,Ludwig van Beethoven,1977-02-20,British
9894,Gary Kraftsow,1968-12-09,Turkish
9895,Durga Chew-Bose,1982-12-11,Australian
9896,Nabeel Qureshi,1959-08-21,Turkish
9897,Barack Obama,1979-08-20,Japanese
9898,Leigh Bardugo,1952-11-03,Italian
9899,James Wanless,1989-04-10,Spanish
9900,Chizu Saeki,1921-12-20,American
9901,Tony Judt,1930-02-28,Israeli
9902,David Petersen,1987-07-22,Australian
9903,Ruth Atkinson,1927-04-08,Greek
9904,E. A. Lupfer,1971-01-02,Jamaican
9905,Neale Donald Walsch,1939-01-26,Malaysian
9906,Karen Diadick Casselman,1920-08-07,German
9907,Ruth Culham,1967-01-03,Indian
9908,Eline Snel,1970-02-10,Russian
9909,Brad Stone,1930-07-08,Egyptian
9910,Louise Penny,1936-09-15,Korean
9911,The Unmumsy Mum,1928-01-17,Nigerian
9912,Lynda Barry,1946-01-10,Italian
9913,Michael L. George,1943-04-13,Irish
9914,Lisa Thompson,1959-06-17,Greek
9915,Luke Pearson,1967-03-18,Peruvian
9916,Kathy Reichs,1990-09-05,Australian
9917,Kentaro Miura,1920-04-24,Kenyan
9918,William Least Heat-Moon,1981-10-20,Portuguese
9919,Peter Reid,1967-03-28,German
9920,Roxane Gay,1941-10-15,Canadian
9921,Steve Biddulph,1943-01-23,Peruvian
9922,Brian Cox,1945-03-19,Korean
9923,Marcos Lopez de Prado,1978-05-11,Chinese
9924,Cornelia Funke,1969-08-21,Irish
9925,Mary S. Lovell,1954-04-20,American
9926,Peter Henshaw,1958-01-08,German
9927,Aimee Chase,1984-12-11,Brazilian
9928,D. Pilkey,1978-10-17,Israeli
9929,Natascha Kampusch,1953-02-13,Israeli
9930,Ryder Windham,1950-10-08,Jamaican
9931,Kim Gordon,1982-04-21,Malaysian
9932,Mark Millar,1965-03-30,Israeli
9933,Vita Sackville-West,1931-12-17,Peruvian
9934,Robert Zubrin,1952-08-17,Korean
9935,Lexie Barnes,1947-11-20,Jamaican
9936,Carter,1974-02-21,Brazilian
9937,Mark Dredge,1940-10-10,Polish
9938,Andreas M Antonopoulos,1970-03-28,Egyptian
9939,Dr Gwyneth Paltrow,1944-12-13,Chinese
9940,Robert Lacey,1988-02-27,Nigerian
9941,J. Krishnamurti,1960-08-20,German
9942,James Wong,1929-01-11,Spanish
9943,Catherine Barnard,1990-04-27,Turkish
9944,Jill Norman,1951-09-13,Israeli
9945,Ina Garten,1981-06-30,Russian
9946,Trish Kuffner,1979-07-16,Italian
9947,Draught Associates,1962-03-05,Canadian
9948,Kaki Hunter,1949-10-07,American
9949,Allie Brosh,1962-06-15,Malaysian
9950,Samuel P. Huntington,1963-01-11,Chinese
9951,G. F. C. Rogers,1932-07-03,Peruvian
9952,Peter Levine,1929-01-28,Egyptian
9953,Carey Pietsch,1961-04-28,Brazilian
9954,Joseph S Benner,1931-09-04,Israeli
9955,Rod Pyle,1921-05-21,French
9956,Paul Dolan,1981-10-16,Greek
9957,Great Britain: Department for Transport,1921-10-30,Portuguese
9958,Mel Bartholomew,1952-07-12,Nigerian
9959,Christine Caine,1967-05-17,American
9960,Mary Ann Scott,1940-09-02,Saudi Arabian
9961,Grant,1936-08-19,Australian
9962,Mark Hunt,1960-09-21,Korean
9963,Lia Leendertz,1938-03-19,Italian
9964,Todd Alexander,1981-02-14,Polish
9965,Arthur C. Clarke,1975-02-07,Brazilian
9966,Walter Tevis,1977-12-27,Malaysian
9967,Jaimal Yogis,1961-10-23,Greek
9968,Alan W. Watts,1965-04-04,Italian
9969,Laura Vanderkam,1979-08-04,Irish
9970,Sylvain Neuvel,1986-07-07,Kenyan
9971,Roy Jacobsen,1941-10-22,Australian
9972,Miriam Hathaway,1955-03-23,Malaysian
9973,Dava Sobel,1921-03-23,Turkish
9974,Tom Daley,1935-08-19,Thai
9975,Jeannie Baker,1939-07-14,Peruvian
9976,Kate Kelly,1939-01-16,Irish
9977,Apollodorus,1929-05-02,Egyptian
9978,Axel Munthe,1950-02-05,Indian
9979,Vincent Persichetti,1934-09-28,Kenyan
9980,Kelly Alexander,1956-04-19,Brazilian
9981,Donna Jo Napoli,1952-01-09,Russian
9982,G. Willow Wilson,1953-04-03,Egyptian
9983,Yulia Van Doren,1976-09-12,Brazilian
9984,Brian Krebs,1934-12-03,Russian
9985,Brett L. Markham,1984-07-18,Brazilian
9986,David Yarrow,1939-11-01,Malaysian
9987,Brian Lavery,1957-07-23,Kenyan
9988,Deborah Frances-White,1944-02-19,Peruvian
9989,Ron White,1959-12-26,Nigerian
9990,Malcolm Pollock,1977-12-19,Greek
9991,Tom Cooper,1946-01-20,Japanese
9992,Barry Hines,1966-08-18,Chinese
9993,Robert Leckie,1957-09-23,Canadian
9994,Clarissa Pinkola Estes,1981-09-09,Indian
9995,Katie Salen Tekinbas,1920-06-27,Kenyan
9996,Tahereh Mafi,1921-06-19,Jamaican
9997,Mem Fox,1941-10-25,Italian
9998,Daniel Patterson,1920-10-04,French
9999,Trevor Powell,1971-08-12,Saudi Arabian
10000,Angela Moore,1926-06-08,Egyptian
10001,David W. Anthony,1944-11-14,American
10002,Mark Diacono,1939-10-28,French
10003,Masatoshi Yoshida,1990-10-25,Kenyan
10004,Sofie Hagen,1979-11-04,Greek
10005,Ellie Claire,1959-04-16,Swedish
10006,Ken Watanabe,1990-01-23,Polish
